,BHID,FROM,TO,LITHO_DESC
48509,18139,87.61,96.01,Intermediate to Ultramafic Volcanics
48630,18160,0.0,32.73,Casing
48631,18160,32.73,39.27,Felsic to Intermediate Dykes
48632,18160,39.27,44.01,Intermediate to Ultramafic Volcanics
48633,18160,44.01,44.74,Felsic to Intermediate Dykes
48634,18160,44.74,51.8,Intermediate to Ultramafic Volcanics
48635,18160,51.8,52.66,Early Diorite
48636,18160,52.66,53.34,Shear Zone
48637,18160,53.34,58.81,Felsic to Intermediate Dykes
48638,18160,58.81,61.56,Intermediate to Ultramafic Volcanics
48639,18160,61.56,62.2,Early Diorite
48640,18160,62.2,62.62,Intermediate to Ultramafic Volcanics
48641,18160,62.62,64.31,Early Diorite
48642,18160,64.31,82.96,Intermediate to Ultramafic Volcanics
48643,18160,82.96,87.26,Shear Zone
48644,18160,87.26,92.5,Intermediate to Ultramafic Volcanics
48645,18161,0.0,38.4,Casing
48646,18161,38.4,50.03,Intermediate to Ultramafic Volcanics
48647,18161,50.03,66.11,Intermediate to Ultramafic Volcanics
48648,18161,66.11,66.94,Diorite
48649,18161,66.94,67.75,Intermediate to Ultramafic Volcanics
48650,18161,67.75,75.33,Felsic to Intermediate Dykes
48651,18161,75.33,76.38,Intermediate to Ultramafic Volcanics
48652,18161,76.38,77.66,Felsic to Intermediate Dykes
48653,18161,77.66,92.5,Intermediate to Ultramafic Volcanics
48654,18162,0.0,22.0,Casing
48655,18162,22.0,27.82,Intermediate to Ultramafic Volcanics
48656,18162,27.82,54.05,Intermediate to Ultramafic Volcanics
48657,18162,54.05,56.44,Diorite
48658,18162,56.44,71.99,Intermediate to Ultramafic Volcanics
48659,18162,71.99,73.16,Felsic to Intermediate Dykes
48660,18162,73.16,92.5,Intermediate to Ultramafic Volcanics
48661,18163,0.0,14.56,Casing
48662,18163,14.56,15.28,Early Diorite
48663,18163,15.28,20.63,Intermediate to Ultramafic Volcanics
48664,18163,20.63,21.77,Felsic to Intermediate Dykes
